IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
38.147.165.204,25566,443,true,LAX,North America,Los Angeles,186,5.18
91.217.139.121,8443,443,true,LAX,North America,Los Angeles,205,5.08
5.181.219.103,16238,443,true,LAX,North America,Los Angeles,188,4.46
156.251.176.43,21806,443,true,HKG,Asia Pacific,Hong Kong,34,4.18
103.94.185.172,34567,443,true,LAX,North America,Los Angeles,192,4.13
2.59.151.168,34237,2096,true,LAX,North America,Los Angeles,198,4.07
45.12.88.148,19479,443,true,LAX,North America,Los Angeles,186,4.06
202.91.35.102,27911,443,true,LAX,North America,Los Angeles,187,3.92
212.103.62.244,19560,443,true,LAX,North America,Los Angeles,181,3.84
185.201.226.246,19582,443,true,LAX,North America,Los Angeles,192,3.83
45.12.90.25,32163,443,true,LAX,North America,Los Angeles,196,3.80
185.238.248.9,12945,443,true,LAX,North America,Los Angeles,192,3.80
103.235.18.119,10020,443,true,HKG,Asia Pacific,Hong Kong,60,3.79
185.238.248.47,11876,443,true,LAX,North America,Los Angeles,194,3.76
185.201.227.192,22799,443,true,LAX,North America,Los Angeles,184,3.73
45.12.88.200,48575,443,true,LAX,North America,Los Angeles,188,3.71
185.238.250.168,25978,443,true,LAX,North America,Los Angeles,188,3.65
185.238.250.168,31445,443,true,LAX,North America,Los Angeles,187,3.62
2.59.151.128,33557,443,true,LAX,North America,Los Angeles,189,3.62
103.99.179.8,43327,443,true,LAX,North America,Los Angeles,215,3.45
23.225.64.72,25016,443,true,NRT,Asia Pacific,Tokyo,87,3.43
23.225.14.184,26084,443,true,LAX,North America,Los Angeles,189,2.68
103.20.222.236,34651,443,true,HKG,Asia Pacific,Hong Kong,42,2.62
103.225.199.215,32000,443,true,HKG,Asia Pacific,Hong Kong,32,2.59
103.94.185.7,35586,443,true,LAX,North America,Los Angeles,218,2.51
202.91.33.131,16084,443,true,LAX,North America,Los Angeles,192,2.43
103.99.178.62,16144,443,true,LAX,North America,Los Angeles,196,2.39
103.235.18.25,31627,443,true,HKG,Asia Pacific,Hong Kong,37,2.30
212.103.62.226,30129,443,true,LAX,North America,Los Angeles,192,2.18
103.99.115.228,47368,443,true,LAX,North America,Los Angeles,214,2.07
23.225.195.46,14369,443,true,LAX,North America,Los Angeles,187,1.76
103.235.18.106,52022,443,true,LAX,North America,Los Angeles,36,1.70
212.103.62.226,14855,443,true,LAX,North America,Los Angeles,186,1.68
23.225.195.46,14369,443,true,LAX,North America,Los Angeles,186,1.44
103.225.199.215,53881,443,true,HKG,Asia Pacific,Hong Kong,38,1.33
