IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.118.119.150,443,443,true,FRA,Europe,Frankfurt,224,7.48
34.163.89.60,8443,443,true,CDG,Europe,Paris,226,7.48
34.118.56.37,443,443,true,FRA,Europe,Frankfurt,190,7.48
34.91.179.33,443,443,true,FRA,Europe,Frankfurt,180,7.48
35.225.207.21,443,443,true,ORD,North America,Chicago,208,7.47
34.91.12.47,443,443,true,FRA,Europe,Frankfurt,164,7.47
34.154.172.63,443,443,true,FRA,Europe,Frankfurt,177,7.46
34.116.148.216,443,443,true,FRA,Europe,Frankfurt,218,7.45
34.154.40.102,443,443,true,FRA,Europe,Frankfurt,179,7.44
34.107.46.133,443,443,true,FRA,Europe,Frankfurt,217,7.44
34.65.235.106,443,443,true,FRA,Europe,Frankfurt,180,7.44
34.118.6.46,443,443,true,FRA,Europe,Frankfurt,227,7.42
34.65.51.34,443,443,true,FRA,Europe,Frankfurt,217,7.41
34.107.89.164,443,443,true,FRA,Europe,Frankfurt,202,7.41
34.147.62.213,443,443,true,FRA,Europe,Frankfurt,177,7.41
34.91.35.27,443,443,true,FRA,Europe,Frankfurt,188,7.40
34.141.39.42,443,443,true,FRA,Europe,Frankfurt,169,7.40
34.34.6.20,443,443,true,FRA,Europe,Frankfurt,184,7.39
34.34.67.126,443,443,true,FRA,Europe,Frankfurt,201,7.38
34.118.114.221,443,443,true,FRA,Europe,Frankfurt,222,7.37
34.163.89.60,2053,443,true,CDG,Europe,Paris,226,7.36
34.116.143.230,443,443,true,FRA,Europe,Frankfurt,246,7.36
34.65.67.163,443,443,true,FRA,Europe,Frankfurt,171,7.35
34.118.123.180,443,443,true,FRA,Europe,Frankfurt,244,7.35
34.65.170.102,443,443,true,FRA,Europe,Frankfurt,173,7.34
34.141.205.62,443,443,true,FRA,Europe,Frankfurt,182,7.34
34.65.242.51,443,443,true,FRA,Europe,Frankfurt,174,7.34
34.65.177.56,443,443,true,FRA,Europe,Frankfurt,172,7.34
34.91.135.41,443,443,true,FRA,Europe,Frankfurt,182,7.33
34.65.235.106,443,443,true,FRA,Europe,Frankfurt,187,7.33
34.116.192.44,443,443,true,FRA,Europe,Frankfurt,191,7.31
34.159.178.203,443,443,true,FRA,Europe,Frankfurt,268,7.31
34.107.120.170,443,443,true,FRA,Europe,Frankfurt,173,7.31
34.163.89.60,2053,443,true,CDG,Europe,Paris,232,7.30
34.32.215.34,443,443,true,FRA,Europe,Frankfurt,177,7.30
34.154.60.225,443,443,true,FRA,Europe,Frankfurt,206,7.30
34.116.203.237,443,443,true,FRA,Europe,Frankfurt,213,7.29
34.118.31.219,443,443,true,FRA,Europe,Frankfurt,210,7.29
34.91.135.41,443,443,true,FRA,Europe,Frankfurt,176,7.28
34.65.51.34,443,443,true,FRA,Europe,Frankfurt,166,7.27
34.65.67.163,443,443,true,FRA,Europe,Frankfurt,206,7.27
34.141.16.181,443,443,true,FRA,Europe,Frankfurt,171,7.26
34.65.5.240,443,443,true,FRA,Europe,Frankfurt,174,7.25
34.118.7.233,443,443,true,FRA,Europe,Frankfurt,195,7.24
34.65.230.145,443,443,true,FRA,Europe,Frankfurt,175,7.22
34.154.143.191,443,443,true,FRA,Europe,Frankfurt,185,7.22
34.118.11.48,443,443,true,FRA,Europe,Frankfurt,205,7.21
34.107.120.170,443,443,true,FRA,Europe,Frankfurt,229,7.21
34.116.191.92,443,443,true,FRA,Europe,Frankfurt,246,7.20
34.118.105.94,443,443,true,FRA,Europe,Frankfurt,215,7.20
34.118.109.159,443,443,true,FRA,Europe,Frankfurt,217,7.20
34.116.128.120,443,443,true,FRA,Europe,Frankfurt,246,7.19
34.163.89.60,8443,443,true,CDG,Europe,Paris,228,7.19
34.65.242.51,443,443,true,FRA,Europe,Frankfurt,180,7.18
34.154.125.224,443,443,true,FRA,Europe,Frankfurt,181,7.17
34.154.234.37,443,443,true,AMS,Europe,Amsterdam,178,7.16
34.118.125.121,443,443,true,FRA,Europe,Frankfurt,207,7.16
34.118.116.4,443,443,true,FRA,Europe,Frankfurt,219,7.15
35.198.166.252,443,443,true,FRA,Europe,Frankfurt,168,7.15
34.32.136.171,443,443,true,AMS,Europe,Amsterdam,179,7.15
34.65.51.34,443,443,true,FRA,Europe,Frankfurt,175,7.13
34.154.209.250,443,443,true,FRA,Europe,Frankfurt,166,7.12
34.154.219.130,443,443,true,FRA,Europe,Frankfurt,180,7.11
34.116.157.225,443,443,true,FRA,Europe,Frankfurt,197,7.11
35.198.177.9,443,443,true,FRA,Europe,Frankfurt,171,7.11
34.118.113.182,443,443,true,FRA,Europe,Frankfurt,186,7.11
34.65.150.145,443,443,true,FRA,Europe,Frankfurt,175,7.10
34.116.222.221,443,443,true,FRA,Europe,Frankfurt,227,7.08
34.65.5.240,443,443,true,FRA,Europe,Frankfurt,400,7.07
34.107.35.81,443,443,true,FRA,Europe,Frankfurt,167,7.07
34.91.135.41,443,443,true,FRA,Europe,Frankfurt,181,7.06
34.118.55.40,443,443,true,FRA,Europe,Frankfurt,191,7.06
34.65.165.196,443,443,true,FRA,Europe,Frankfurt,173,7.05
34.118.100.37,443,443,true,FRA,Europe,Frankfurt,221,7.05
34.91.179.33,443,443,true,FRA,Europe,Frankfurt,177,7.05
34.32.136.171,443,443,true,FRA,Europe,Frankfurt,190,7.04
34.159.33.118,443,443,true,FRA,Europe,Frankfurt,182,7.01
34.91.12.47,443,443,true,FRA,Europe,Frankfurt,176,7.01
34.91.69.203,443,443,true,FRA,Europe,Frankfurt,177,6.99
34.34.67.126,443,443,true,FRA,Europe,Frankfurt,178,6.99
34.34.186.205,443,443,true,CDG,Europe,Paris,239,6.99
34.34.68.211,443,443,true,FRA,Europe,Frankfurt,176,6.98
34.141.236.235,443,443,true,FRA,Europe,Frankfurt,173,6.97
34.65.116.32,443,443,true,FRA,Europe,Frankfurt,209,6.97
34.116.128.120,443,443,true,FRA,Europe,Frankfurt,190,6.96
34.34.21.120,443,443,true,FRA,Europe,Frankfurt,182,6.96
34.65.165.19,443,443,true,FRA,Europe,Frankfurt,179,6.94
34.91.12.47,443,443,true,FRA,Europe,Frankfurt,179,6.94
34.65.44.204,443,443,true,FRA,Europe,Frankfurt,175,6.93
34.118.95.49,443,443,true,FRA,Europe,Frankfurt,222,6.93
