IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
130.162.229.42,2053,443,true,FRA,Europe,Frankfurt,171,9.15
152.70.59.50,443,443,true,FRA,Europe,Frankfurt,203,9.15
193.123.33.82,443,443,true,FRA,Europe,Frankfurt,182,9.14
144.21.42.13,443,443,true,FRA,Europe,Frankfurt,183,9.14
144.24.172.138,443,443,true,FRA,Europe,Frankfurt,183,9.14
141.144.192.206,443,443,true,FRA,Europe,Frankfurt,216,9.13
84.8.151.173,443,443,true,FRA,Europe,Frankfurt,176,9.12
152.70.52.215,443,443,true,AMS,Europe,Amsterdam,188,9.08
79.72.64.171,443,443,true,FRA,Europe,Frankfurt,190,9.07
158.101.212.199,443,443,true,FRA,Europe,Frankfurt,182,9.06
152.67.78.164,8443,443,true,MXP,Europe,Milan,169,9.03
141.147.77.113,443,443,true,FRA,Europe,Frankfurt,187,8.96
141.147.68.17,443,443,true,FRA,Europe,Frankfurt,193,8.95
158.178.144.253,443,443,true,FRA,Europe,Frankfurt,199,8.89
141.147.75.50,443,443,true,FRA,Europe,Frankfurt,225,8.88
141.144.252.193,443,443,true,FRA,Europe,Frankfurt,167,8.87
138.2.144.243,443,443,true,FRA,Europe,Frankfurt,252,8.87
141.147.72.5,443,443,true,FRA,Europe,Frankfurt,179,8.84
130.162.165.247,443,443,true,FRA,Europe,Frankfurt,186,8.83
89.168.112.131,443,443,true,FRA,Europe,Frankfurt,190,8.82
132.145.82.137,443,443,true,ICN,Asia Pacific,Seoul,92,8.81
158.179.206.143,443,443,true,ARN,Europe,Stockholm,186,8.79
193.122.55.17,443,443,true,FRA,Europe,Frankfurt,171,8.76
141.147.104.53,443,443,true,FRA,Europe,Frankfurt,198,8.75
132.226.235.55,443,443,true,SIN,Asia Pacific,Singapore,188,8.74
132.226.193.65,443,443,true,FRA,Europe,Frankfurt,176,8.73
130.162.164.74,443,443,true,FRA,Europe,Frankfurt,171,8.72
132.226.232.9,443,443,true,SIN,Asia Pacific,Singapore,188,8.67
193.122.115.63,443,443,true,SIN,Asia Pacific,Singapore,224,8.65
